gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Nanosl1,8132.48,-0.4207,0.3010,1.622e-01,8.962e-01
Fto3,5847.53,0.4187,0.3014,1.647e-01,8.983e-01
Cpeb1,58.66,-0.5709,0.4153,1.693e-01,9.006e-01
Dcp1a,238.90,-0.4512,0.3321,1.742e-01,9.006e-01
Rbfox12,467.42,-0.4305,0.3168,1.742e-01,9.006e-01
Sox12,5481.75,0.4094,0.3015,1.745e-01,9.006e-01
Dnd8,90.37,-0.5123,0.3789,1.764e-01,9.006e-01
Myc2,3710.96,0.4070,0.3022,1.780e-01,9.006e-01
Lin2b,97.42,0.4945,0.3737,1.858e-01,9.279e-01
Pax1,3003.90,0.3987,0.3027,1.878e-01,9.279e-01
Bmp9,37.92,0.6079,0.4665,1.926e-01,9.361e-01
Myc7,11805.81,-0.3906,0.3007,1.939e-01,9.361e-01
Puml1,1436.47,-0.3946,0.3056,1.966e-01,9.376e-01
Nanos2,5711.84,0.3862,0.3014,2.001e-01,9.376e-01
Dcpa,183.49,0.4352,0.3411,2.021e-01,9.376e-01
Myc2b,2352.84,-0.3861,0.3034,2.031e-01,9.376e-01
Fgf1a,6891.58,0.3782,0.3012,2.092e-01,9.497e-01
Ythdf1a,7.04,-1.1046,0.8818,2.103e-01,9.497e-01
Tdrd10,1198.93,-0.3810,0.3067,2.140e-01,9.564e-01
Dcpb,51.64,-0.5297,0.4286,2.165e-01,9.574e-01
Bmp2,9130.09,-0.3691,0.3009,2.200e-01,9.624e-01
Nanos6,11568.61,0.3599,0.3007,2.313e-01,9.962e-01
Hnrnp9,615.92,-0.3706,0.3128,2.361e-01,9.962e-01
Srsf3l,241.22,-0.3900,0.3318,2.397e-01,9.962e-01
Lin1a,15349.68,0.3532,0.3005,2.399e-01,9.962e-01
Ddx3l,324.05,-0.3779,0.3239,2.434e-01,9.962e-01
Ythdf6,12071.53,0.3480,0.3007,2.471e-01,9.962e-01
Gatal1,11786.27,-0.3459,0.3007,2.500e-01,9.962e-01
Sox3,127.91,-0.4104,0.3575,2.511e-01,9.962e-01
Bmp3l,103.57,0.4187,0.3698,2.575e-01,9.962e-01
Upf4,725.36,-0.3463,0.3109,2.653e-01,9.962e-01
Rpsl1,128.36,0.3980,0.3574,2.654e-01,9.962e-01
Pax3l,47.11,0.4875,0.4390,2.668e-01,9.962e-01
Wnt10,278.83,0.3619,0.3277,2.694e-01,9.962e-01
Dcp9,2176.18,0.3352,0.3037,2.697e-01,9.962e-01
Upf9,5446.25,0.3325,0.3015,2.700e-01,9.962e-01
Nanos11,2252.69,0.3307,0.3036,2.760e-01,9.962e-01
Rpl3l,8.75,0.8721,0.8018,2.768e-01,9.962e-01
Fgf11,83.80,-0.4179,0.3844,2.769e-01,9.962e-01
Ddx2,613.09,0.3350,0.3129,2.843e-01,9.962e-01
Ythdc7,102.35,-0.3947,0.3705,2.868e-01,9.962e-01
Ago3,465.96,-0.3362,0.3168,2.886e-01,9.962e-01
Rpla,3323.95,-0.3168,0.3024,2.948e-01,9.962e-01
Mettl12,7408.51,0.3137,0.3011,2.974e-01,9.962e-01
Mov3,357.93,-0.3341,0.3217,2.990e-01,9.962e-01
Pum8,3515.59,-0.3126,0.3023,3.010e-01,9.962e-01
Dcp11,18.96,0.6044,0.5876,3.036e-01,9.962e-01
Fgf10,768.90,0.3159,0.3103,3.087e-01,9.962e-01
Srsf1a,42.13,0.4600,0.4527,3.095e-01,9.962e-01
Tbx2,313.97,0.3294,0.3247,3.103e-01,9.962e-01
Lin8,1010.24,0.3089,0.3079,3.158e-01,9.962e-01
Tdrd12,2664.32,-0.3035,0.3030,3.165e-01,9.962e-01
Tbxb,14176.79,0.3004,0.3006,3.176e-01,9.962e-01
Gata10,45.46,-0.4425,0.4433,3.181e-01,9.962e-01
Fto10,4198.46,0.2950,0.3019,3.285e-01,9.962e-01
Paxb,31.11,0.4818,0.4956,3.310e-01,9.962e-01
Bmp6,803.84,-0.3002,0.3099,3.327e-01,9.962e-01
Dcp6,811.97,-0.2989,0.3098,3.346e-01,9.962e-01
Piwi10,1595.95,-0.2941,0.3050,3.349e-01,9.962e-01
Vasa1,728.00,-0.2985,0.3109,3.369e-01,9.962e-01
Tbx3l,10490.74,0.2839,0.3008,3.451e-01,9.962e-01
Rpsb,1105.98,0.2897,0.3072,3.457e-01,9.962e-01
Zfp4,298.78,-0.3071,0.3259,3.461e-01,9.962e-01
Eif10,218.50,0.3144,0.3349,3.478e-01,9.962e-01
Tbx9,4339.98,-0.2811,0.3019,3.518e-01,9.962e-01
Hnrnpb,126.96,0.3318,0.3579,3.539e-01,9.962e-01
Ythdc2b,381.41,0.2943,0.3205,3.584e-01,9.962e-01
Nanos1a,2415.44,-0.2769,0.3033,3.614e-01,9.962e-01
Notch10,1872.25,-0.2770,0.3043,3.626e-01,9.962e-01
Zfp1,9690.25,-0.2684,0.3008,3.723e-01,9.962e-01
Movl1,1565.08,0.2695,0.3051,3.770e-01,9.962e-01
Vasa5,765.38,-0.2723,0.3104,3.803e-01,9.962e-01
Elavl9,2093.13,0.2638,0.3038,3.853e-01,9.962e-01
Notch3l,220.30,-0.2890,0.3346,3.878e-01,9.962e-01
Sox10,3646.86,0.2603,0.3022,3.891e-01,9.962e-01
Bmp8,9.28,0.6590,0.7819,3.993e-01,9.962e-01
Notch12,5373.96,-0.2538,0.3015,3.998e-01,9.962e-01
Gata3,8989.67,-0.2532,0.3009,4.001e-01,9.962e-01
Dcpl1,354.52,-0.2706,0.3220,4.006e-01,9.962e-01
Upf8,98.74,0.3110,0.3728,4.042e-01,9.962e-01
Rplb,14376.71,-0.2478,0.3006,4.097e-01,9.962e-01
Tbx1a,11184.95,-0.2428,0.3007,4.195e-01,9.962e-01
Gata6,34.90,0.3846,0.4782,4.213e-01,9.962e-01
Wnta,8312.98,-0.2412,0.3010,4.229e-01,9.962e-01
Mex5,127.20,0.2859,0.3578,4.242e-01,9.962e-01
Nanos2b,919.16,0.2444,0.3087,4.285e-01,9.962e-01
Hnrnp12,3800.52,-0.2388,0.3021,4.292e-01,9.962e-01
Zfp9,9.85,-0.6027,0.7626,4.293e-01,9.962e-01
Eif1,285.35,0.2568,0.3271,4.323e-01,9.962e-01
Tbx5,1176.08,0.2407,0.3068,4.326e-01,9.962e-01
Vasa9,7740.31,0.2362,0.3010,4.327e-01,9.962e-01
Ago8,4900.09,0.2356,0.3016,4.348e-01,9.962e-01
Upf3l,487.71,0.2442,0.3161,4.398e-01,9.962e-01
Ythdcb,1745.29,0.2341,0.3046,4.420e-01,9.962e-01
Piwi12,47.77,-0.3309,0.4374,4.493e-01,9.962e-01
Mov7,24.31,0.4038,0.5377,4.527e-01,9.962e-01
Bmp1a,1038.54,0.2300,0.3077,4.547e-01,9.962e-01
Myc10,6067.42,0.2251,0.3013,4.551e-01,9.962e-01
Mettl3,10.83,0.5467,0.7326,4.555e-01,9.962e-01
Dndb,15842.42,0.2231,0.3005,4.579e-01,9.962e-01
Dnd2b,173.26,0.2536,0.3434,4.602e-01,9.962e-01
Hox9,1937.21,0.2240,0.3041,4.614e-01,9.962e-01
Gata11,6435.56,0.2196,0.3013,4.661e-01,9.962e-01
Fgf1,6025.53,-0.2193,0.3013,4.667e-01,9.962e-01
Srsf2,4.77,0.7629,1.0511,4.680e-01,9.962e-01
Mex3l,14.57,0.4707,0.6498,4.689e-01,9.962e-01
Mettl2b,31.23,0.3554,0.4949,4.727e-01,9.962e-01
Tbxl1,547.92,0.2256,0.3144,4.730e-01,9.962e-01
Mex1a,110.92,-0.2616,0.3656,4.742e-01,9.962e-01
Ythdc8,1309.74,0.2174,0.3061,4.775e-01,9.962e-01
Fgf3,988.14,-0.2182,0.3081,4.787e-01,9.962e-01
Bmpl1,2735.68,0.2134,0.3029,4.812e-01,9.962e-01
Hox12,493.96,0.2216,0.3159,4.829e-01,9.962e-01
Mex2b,7.76,-0.5922,0.8446,4.832e-01,9.962e-01
Mycb,68.91,-0.2781,0.4003,4.873e-01,9.962e-01
Rbfox1a,151.24,-0.2420,0.3493,4.883e-01,9.962e-01
Piwi5,1322.87,0.2118,0.3060,4.890e-01,9.962e-01
Paxa,62.14,0.2829,0.4097,4.900e-01,9.962e-01
Bmp11,2645.69,0.2078,0.3030,4.929e-01,9.962e-01
Hnrnp4,37.60,-0.3203,0.4677,4.934e-01,9.962e-01
Mov3l,393.42,-0.2188,0.3198,4.940e-01,9.962e-01
Piwia,15.54,0.4310,0.6335,4.963e-01,9.962e-01
Gata2b,14968.21,-0.2038,0.3005,4.976e-01,9.962e-01
Srsf6,11161.36,-0.2014,0.3007,5.030e-01,9.962e-01
Srsf4,304.17,-0.2172,0.3254,5.046e-01,9.962e-01
Sox1,149.27,-0.2326,0.3499,5.062e-01,9.962e-01
Wnt9,27.88,-0.3399,0.5134,5.080e-01,9.962e-01
Nanos7,101.54,0.2434,0.3710,5.118e-01,9.962e-01
Piwi1,12.90,-0.4461,0.6821,5.131e-01,9.962e-01
Elavl2,46.45,-0.2875,0.4407,5.142e-01,9.962e-01
Nanos3,103.38,-0.2404,0.3699,5.158e-01,9.962e-01
Pum6,1932.61,0.1954,0.3041,5.206e-01,9.962e-01
Dcp5,126.07,-0.2286,0.3583,5.235e-01,9.962e-01
Rpl12,30.33,-0.3147,0.4996,5.287e-01,9.962e-01
Fgf4,13.22,0.4186,0.6753,5.353e-01,9.962e-01
Vasa10,124.82,0.2210,0.3589,5.380e-01,9.962e-01
Agob,709.58,0.1849,0.3112,5.523e-01,9.962e-01
Ddx3,106.13,-0.2174,0.3682,5.549e-01,9.962e-01
Ythdc10,569.64,0.1844,0.3138,5.569e-01,9.962e-01
Dcp1,221.75,0.1949,0.3344,5.599e-01,9.962e-01
Pum5,114.00,0.2115,0.3639,5.611e-01,9.962e-01
Lin3l,1073.70,0.1786,0.3074,5.613e-01,9.962e-01
Lin7,292.23,-0.1864,0.3264,5.679e-01,9.962e-01
Ythdfl1,219.09,0.1871,0.3348,5.763e-01,9.962e-01
Eifb,100.27,-0.2074,0.3718,5.770e-01,9.962e-01
Eif8,25.26,0.2959,0.5307,5.771e-01,9.962e-01
Cpebb,1868.94,-0.1691,0.3043,5.785e-01,9.962e-01
Rpsa,13.73,-0.3651,0.6652,5.831e-01,9.962e-01
Tdrd3,4.48,-0.5921,1.0823,5.843e-01,9.962e-01
Sox1a,1520.60,0.1663,0.3053,5.859e-01,9.962e-01
Lina,123.02,-0.1950,0.3596,5.877e-01,9.962e-01
Fto2b,199.39,-0.1831,0.3380,5.881e-01,9.962e-01
Myca,11549.00,0.1614,0.3007,5.914e-01,9.962e-01
Vasa2,186.46,0.1828,0.3405,5.915e-01,9.962e-01
Myc9,255.85,-0.1763,0.3300,5.933e-01,9.962e-01
Gata1a,4.38,-0.5797,1.0931,5.958e-01,9.962e-01
Hnrnpl1,1423.14,0.1603,0.3056,5.999e-01,9.962e-01
Tbx10,222.88,-0.1746,0.3342,6.015e-01,9.962e-01
Pax7,25.17,-0.2763,0.5313,6.030e-01,9.962e-01
Hnrnp3l,22.29,-0.2825,0.5542,6.103e-01,9.962e-01
Wnt3,12.89,-0.3469,0.6823,6.112e-01,9.962e-01
Ago3l,79.86,0.1965,0.3881,6.125e-01,9.962e-01
Piwil1,4533.51,-0.1526,0.3018,6.130e-01,9.962e-01
Gata3l,8.50,0.4106,0.8121,6.132e-01,9.962e-01
Tdrd1a,4080.70,0.1511,0.3020,6.167e-01,9.962e-01
Dnd9,4734.99,-0.1508,0.3017,6.172e-01,9.962e-01
Pum2b,18.14,-0.2856,0.5973,6.325e-01,9.962e-01
Dnd2,871.69,-0.1471,0.3091,6.341e-01,9.962e-01
Zfp6,10.80,0.3466,0.7336,6.366e-01,9.962e-01
Eif4,25.45,-0.2488,0.5293,6.384e-01,9.962e-01
Elavl10,80.57,0.1819,0.3874,6.386e-01,9.962e-01
Mex6,779.22,0.1437,0.3102,6.432e-01,9.962e-01
Piwi1a,190.03,0.1570,0.3398,6.441e-01,9.962e-01
Dnd3,5.99,0.4366,0.9477,6.450e-01,9.962e-01
Bmp10,207.79,0.1547,0.3366,6.459e-01,9.962e-01
Fgfl1,12.97,-0.3118,0.6805,6.469e-01,9.962e-01
Notch7,34.76,-0.2186,0.4788,6.479e-01,9.962e-01
Lin2,53.03,-0.1942,0.4258,6.483e-01,9.962e-01
Rbfoxl1,573.54,0.1409,0.3137,6.535e-01,9.962e-01
Hox5,1240.08,0.1373,0.3064,6.541e-01,9.962e-01
Ago9,656.32,-0.1388,0.3120,6.564e-01,9.962e-01
Fgf12,65.88,0.1796,0.4043,6.569e-01,9.962e-01
Ddxa,16.12,0.2767,0.6246,6.578e-01,9.962e-01
Upf3,56.16,0.1858,0.4197,6.581e-01,9.962e-01
Upf12,4131.94,0.1336,0.3019,6.582e-01,9.962e-01
Mov2b,3.99,0.5024,1.1419,6.599e-01,9.962e-01
Myc4,80.86,0.1694,0.3871,6.617e-01,9.962e-01
Nanos8,246.83,0.1442,0.3311,6.632e-01,9.962e-01
Soxb,7012.46,0.1311,0.3011,6.634e-01,9.962e-01
Mettl10,18.58,-0.2565,0.5921,6.648e-01,9.962e-01
Ythdc1,5522.05,0.1261,0.3015,6.758e-01,9.962e-01
Pum11,1470.45,0.1266,0.3054,6.786e-01,9.962e-01
Dndl1,40.02,-0.1901,0.4593,6.789e-01,9.962e-01
Fgf2b,39.72,0.1905,0.4603,6.790e-01,9.962e-01
Dcp2,17.74,0.2476,0.6024,6.810e-01,9.962e-01
Wnt2,6.87,-0.3618,0.8915,6.849e-01,9.962e-01
Ythdf4,5.46,0.3993,0.9880,6.861e-01,9.962e-01
Tbx1,217.13,0.1353,0.3351,6.863e-01,9.962e-01
Notch2b,58.36,-0.1676,0.4159,6.869e-01,9.962e-01
Ythdc5,465.68,0.1266,0.3168,6.895e-01,9.962e-01
Lin3,33.58,0.1918,0.4839,6.918e-01,9.962e-01
Wnt4,277.31,0.1299,0.3278,6.919e-01,9.962e-01
Mettl7,44.04,-0.1744,0.4471,6.965e-01,9.962e-01
Cpeb10,40.52,-0.1783,0.4577,6.968e-01,9.962e-01
Cpeb5,9115.34,0.1172,0.3009,6.969e-01,9.962e-01
Mettlb,3781.84,0.1173,0.3021,6.979e-01,9.962e-01
Dcp10,11.33,0.2756,0.7193,7.016e-01,9.962e-01
Nanos3l,16.52,0.2365,0.6188,7.024e-01,9.962e-01
Wnt1a,59.18,-0.1572,0.4145,7.045e-01,9.962e-01
Rpl1a,268.76,-0.1238,0.3286,7.065e-01,9.962e-01
Mettl8,9.04,-0.2948,0.7907,7.093e-01,9.962e-01
Ythdfb,228.05,-0.1234,0.3335,7.113e-01,9.962e-01
Mex4,513.24,0.1158,0.3153,7.133e-01,9.962e-01
Srsf5,6093.50,-0.1095,0.3013,7.163e-01,9.962e-01
Lin12,322.05,-0.1175,0.3241,7.169e-01,9.962e-01
Tdrd4,15.16,-0.2250,0.6397,7.251e-01,9.962e-01
Tbx7,82.88,0.1317,0.3852,7.325e-01,9.962e-01
Soxl1,48.47,-0.1480,0.4357,7.342e-01,9.962e-01
Ddx1a,7102.41,0.1017,0.3011,7.355e-01,9.962e-01
Lin6,6.56,0.3055,0.9101,7.371e-01,9.962e-01
Pum3,87.11,0.1265,0.3815,7.402e-01,9.962e-01
Mettl1,8.68,0.2665,0.8046,7.405e-01,9.962e-01
Dnd3l,113.17,-0.1183,0.3644,7.454e-01,9.962e-01
Zfpa,11164.32,0.0975,0.3007,7.459e-01,9.962e-01
Ythdf9,42.20,-0.1455,0.4524,7.477e-01,9.962e-01
Hox11,1534.60,-0.0975,0.3052,7.494e-01,9.962e-01
Rbfox10,3426.63,-0.0959,0.3023,7.511e-01,9.962e-01
Ago10,11.63,-0.2247,0.7114,7.522e-01,9.962e-01
Vasa8,8.25,-0.2586,0.8225,7.532e-01,9.962e-01
Elavl8,221.92,-0.1044,0.3344,7.548e-01,9.962e-01
Pax8,63.27,-0.1228,0.4080,7.634e-01,9.962e-01
Rps8,7.61,0.2547,0.8521,7.650e-01,9.962e-01
Gata4,7.13,-0.2579,0.8767,7.686e-01,9.962e-01
Wnt5,77.78,0.1147,0.3902,7.688e-01,9.962e-01
Myc3,23.17,0.1602,0.5467,7.695e-01,9.962e-01
Vasa11,1564.73,-0.0888,0.3051,7.711e-01,9.962e-01
Rpl3,190.15,-0.0982,0.3398,7.727e-01,9.962e-01
Eif3l,19.48,-0.1676,0.5817,7.732e-01,9.962e-01
Mettl6,7.07,-0.2536,0.8802,7.732e-01,9.962e-01
Upf2,58.83,-0.1190,0.4151,7.743e-01,9.962e-01
Elavl1,4.10,-0.3187,1.1273,7.774e-01,9.962e-01
Eif11,5017.33,0.0852,0.3016,7.776e-01,9.962e-01
Elavl7,374.29,0.0896,0.3208,7.801e-01,9.962e-01
Mov12,14.50,-0.1813,0.6510,7.806e-01,9.962e-01
Dcp3,5.15,0.2805,1.0144,7.821e-01,9.962e-01
Upf7,4207.26,-0.0827,0.3019,7.843e-01,9.962e-01
Rpl8,18.61,-0.1599,0.5917,7.869e-01,9.962e-01
Elavl11,4.19,-0.3002,1.1159,7.879e-01,9.962e-01
Fgf9,774.67,-0.0824,0.3102,7.905e-01,9.962e-01
Mexl1,14.33,-0.1729,0.6539,7.915e-01,9.962e-01
Rbfox9,7193.32,-0.0782,0.3011,7.950e-01,9.962e-01
Ddxb,1101.42,-0.0771,0.3072,8.019e-01,9.962e-01
Bmp1,6.08,0.2284,0.9416,8.083e-01,9.962e-01
Mettl2,3707.85,0.0726,0.3022,8.100e-01,9.962e-01
Cpeb3,151.11,0.0824,0.3493,8.136e-01,9.962e-01
Rps10,4.12,-0.2641,1.1248,8.143e-01,9.962e-01
Piwi6,3295.38,0.0707,0.3024,8.153e-01,9.962e-01
Mettl9,46.16,0.0998,0.4414,8.212e-01,9.962e-01
Dcp4,34.76,0.1069,0.4788,8.233e-01,9.962e-01
Ythdf10,11063.73,-0.0671,0.3007,8.235e-01,9.962e-01
Pum12,8.93,-0.1733,0.7951,8.274e-01,9.962e-01
Ythdf7,52.74,-0.0927,0.4263,8.279e-01,9.962e-01
Mettl11,206.88,0.0732,0.3367,8.280e-01,9.962e-01
Zfp11,8.55,-0.1745,0.8100,8.294e-01,9.962e-01
Dcp7,290.74,0.0702,0.3266,8.297e-01,9.962e-01
Elavl6,9.32,0.1675,0.7804,8.300e-01,9.962e-01
Fgf5,4.48,0.2319,1.0818,8.302e-01,9.962e-01
Mex1,14.88,-0.1275,0.6444,8.432e-01,9.962e-01
Piwi2,3261.12,0.0594,0.3025,8.443e-01,9.962e-01
Vasa7,209.37,0.0657,0.3363,8.452e-01,9.962e-01
Wnt11,80.67,0.0750,0.3873,8.464e-01,9.962e-01
Dnd12,9298.85,0.0578,0.3009,8.476e-01,9.962e-01
Ddx7,2418.03,-0.0581,0.3033,8.480e-01,9.962e-01
Notch1a,8.05,0.1555,0.8312,8.516e-01,9.962e-01
Fgf7,243.83,0.0572,0.3314,8.630e-01,9.962e-01
Myc12,13.02,0.1167,0.6794,8.636e-01,9.962e-01
Rps2,4.52,-0.1845,1.0773,8.640e-01,9.962e-01
Rpl9,727.27,-0.0526,0.3109,8.656e-01,9.962e-01
Mex3,13321.04,0.0507,0.3006,8.661e-01,9.962e-01
Elavla,281.61,-0.0542,0.3274,8.685e-01,9.962e-01
Pax5,5.20,-0.1664,1.0103,8.692e-01,9.962e-01
Hnrnpa,418.33,0.0521,0.3187,8.701e-01,9.962e-01
Ftoa,12391.52,0.0470,0.3007,8.757e-01,9.962e-01
Piwi3,14.53,0.1011,0.6505,8.765e-01,9.962e-01
Nanos4,90.33,0.0556,0.3789,8.834e-01,9.962e-01
Ago2,8.12,-0.1202,0.8284,8.846e-01,9.962e-01
Tdrd3l,4.92,0.1489,1.0358,8.857e-01,9.962e-01
Notchl1,6.38,0.1313,0.9215,8.867e-01,9.962e-01
Sox9,81.45,0.0539,0.3865,8.892e-01,9.962e-01
Rpl10,20.40,-0.0744,0.5721,8.965e-01,9.962e-01
Hnrnp2,4.13,0.1429,1.1236,8.988e-01,9.962e-01
Piwi2b,7.99,-0.1045,0.8343,9.004e-01,9.962e-01
Lin11,41.14,-0.0569,0.4557,9.007e-01,9.962e-01
Pax4,9.64,-0.0932,0.7695,9.036e-01,9.962e-01
Vasa1a,5.27,0.1175,1.0038,9.068e-01,9.962e-01
Mettl5,927.17,0.0360,0.3086,9.071e-01,9.962e-01
Bmp2b,4.60,-0.1239,1.0684,9.077e-01,9.962e-01
Myc1a,11.12,-0.0829,0.7247,9.089e-01,9.962e-01
Hox1,6.25,0.1027,0.9298,9.120e-01,9.962e-01
Eif6,6.46,0.1008,0.9162,9.124e-01,9.962e-01
Ythdc3,10.15,0.0824,0.7530,9.129e-01,9.962e-01
Rbfoxb,20.56,-0.0621,0.5704,9.132e-01,9.962e-01
Eif5,8.58,0.0858,0.8088,9.155e-01,9.962e-01
Myc8,5.76,-0.0999,0.9644,9.175e-01,9.962e-01
Fgf2,18.31,-0.0616,0.5952,9.176e-01,9.962e-01
Mycl1,10.57,0.0765,0.7402,9.177e-01,9.962e-01
Srsfl1,1433.77,0.0316,0.3056,9.178e-01,9.962e-01
Bmp7,8.85,-0.0770,0.7979,9.232e-01,9.962e-01
Sox5,16.61,-0.0594,0.6175,9.234e-01,9.962e-01
Nanos1,7.13,-0.0825,0.8768,9.251e-01,9.962e-01
Rps4,15.58,0.0577,0.6330,9.274e-01,9.962e-01
Rpl6,12.50,0.0606,0.6907,9.301e-01,9.962e-01
Nanos5,591.72,-0.0271,0.3133,9.311e-01,9.962e-01
Tbx2b,75.35,-0.0318,0.3927,9.354e-01,9.962e-01
Rbfox5,4.48,-0.0867,1.0824,9.361e-01,9.962e-01
Gata5,199.71,0.0261,0.3380,9.383e-01,9.962e-01
Hoxa,1590.87,-0.0219,0.3050,9.428e-01,9.962e-01
Upf11,66.75,-0.0285,0.4031,9.436e-01,9.962e-01
Hox7,7.57,0.0599,0.8542,9.441e-01,9.962e-01
Bmp12,14.12,0.0407,0.6578,9.507e-01,9.962e-01
Dcp2b,15.73,0.0367,0.6306,9.536e-01,9.962e-01
Mex7,4.21,0.0631,1.1134,9.548e-01,9.962e-01
Rps7,12431.42,-0.0160,0.3006,9.575e-01,9.962e-01
Ago2b,44.37,-0.0236,0.4462,9.578e-01,9.962e-01
Fgf3l,6630.14,0.0147,0.3012,9.612e-01,9.962e-01
Ago1,32.11,0.0237,0.4907,9.615e-01,9.962e-01
